id,created_at,deleted_at,comment,total_likes
1,2024-06-09 05:57:01.302,,Inisiatif yang luar biasa dari dosen dan Himatansi Universitas Malikussaleh. Aksi sosial seperti ini sangat membantu meringankan beban para korban banjir di Aceh Utara. Semoga semakin banyak pihak yang tergerak untuk memberikan bantuan.,1
2,2024-06-09 13:20:06.191,,Salut untuk Himatansi dan para dosen yang telah berpartisipasi dalam penggalangan dan penyaluran donasi ini. Semoga bantuan yang diberikan dapat bermanfaat dan membantu memulihkan kondisi masyarakat yang terkena dampak banjir.,1
3,2024-06-12 16:32:37.968,,"Kegiatan ini menunjukkan pentingnya peran mahasiswa dalam mengatasi masalah sosial di lingkungan sekitar. Selain fokus pada akademis, kepedulian terhadap masyarakat juga sangat penting dan harus terus ditingkatkan.",0
4,2024-06-13 09:26:14.007,,Banjir di Aceh Utara memang memerlukan perhatian kita semua. Terima kasih kepada Universitas Malikussaleh yang sudah mengorganisir donasi ini. Semoga bantuan ini bisa menjadi penyemangat bagi korban banjir untuk bangkit kembali.,0
5,2024-06-13 13:22:49.881,,Saya berharap kegiatan seperti ini bisa terus dilakukan dan menjadi contoh bagi institusi lainnya. Solidaritas dan kebersamaan sangat dibutuhkan dalam menghadapi bencana alam. Terima kasih kepada Himatansi dan para dosen yang telah berkontribusi.,0
6,2024-06-13 14:07:23.428,,Terima kasih kepada para relawan TKSK dan Verifikator Desa atas kepeduliannya terhadap korban tanah longsor di Patean. Semoga bantuan yang diberikan dapat meringankan beban mereka.,0
7,2024-06-13 14:09:55.937,,Aksi cepat tanggap dari para relawan sangat patut diapresiasi. Semoga warga Dusun Kemloko bisa segera pulih dari bencana ini.,0
8,2024-06-13 14:10:53.258,,Solidaritas yang ditunjukkan oleh warga dan relawan sangat menginspirasi. Semoga kegiatan bakti sosial seperti ini terus berlanjut.,0
9,2024-06-13 14:13:49.073,,Semoga koordinasi yang baik antara TKSK dan Verifikator Desa terus terjaga agar bantuan bisa tersalurkan dengan lancar kepada yang membutuhkan.,0
10,2024-06-13 14:14:04.614,,Sangat menyedihkan mendengar kabar tanah longsor ini. Terima kasih kepada semua pihak yang telah membantu korban. Tetap semangat dan saling mendukung!,0
11,2024-06-13 14:16:00.762,,Terima kasih kepada PT Insight Investments Management dan Yayasan Inspirasi Indonesia Membangun atas bantuannya. Semoga bantuan ini bisa meringankan beban para korban di Sulawesi Barat dan NTT.,0
12,2024-06-13 14:16:13.928,,Bantuan berupa sembako dan perlengkapan sangat dibutuhkan oleh para korban bencana. Apresiasi tinggi untuk Insight dan YIIM atas kepeduliannya.,0
13,2024-06-13 14:17:19.256,,Luar biasa! Kolaborasi antara Insight dan YIIM benar-benar membantu masyarakat yang terkena bencana. Semoga terus berlanjut.,0
14,2024-06-13 14:17:32.567,,Semoga bantuan ini dapat memberikan harapan baru bagi para korban bencana gempa di Sulawesi Barat dan erupsi di NTT. Terima kasih Insight dan YIIM.,0
15,2024-06-13 14:20:31.310,,Inisiatif yang sangat mulia dari Insight dan YIIM. Semoga semakin banyak perusahaan yang mengikuti jejak ini untuk membantu sesama.,0
16,2024-06-13 14:22:07.857,,Inisiatif volunteer kebersihan lingkungan sangat penting. Mari kita semua berpartisipasi untuk menjaga lingkungan demi masa depan yang lebih baik.,0
17,2024-06-14 08:49:44.919,,Kepedulian terhadap lingkungan harus dimulai dari diri sendiri. Bergabung dengan kegiatan volunteer bisa menjadi langkah awal yang positif.,0
18,2024-06-14 12:30:16.281,,"Setuju, menjaga kebersihan lingkungan bukan hanya tanggung jawab pemerintah, tapi juga kita semua. Ayo berkontribusi!",0
19,2024-06-14 17:29:29.159,,Lingkungan yang bersih dan asri memberikan banyak manfaat bagi kesehatan dan kesejahteraan kita. Mari bersama-sama menjaga dan melestarikannya.,0
20,2024-06-15 12:36:23.559,,Bagusss,0
21,2024-06-15 14:27:12.206,,Artikel nya sangat bermanfaat,0
22,2024-06-16 15:17:07.774,,,0
23,2024-06-16 15:17:21.614,,,0
24,2024-06-17 16:41:06.554,,,0
