id,created_at,deleted_at,testimoni,rating
1,2024-04-25,,Menyenangkan,4
2,2024-04-25,,Seru,3
3,2024-04-25,,Sangat menarik,4
4,2024-04-25,,Bagus,3
5,2024-04-27,,Kegiatan ini menyenangkan,4
6,2024-04-27,,Saya senang karna mendapat banyak relasi dan mendapatkan pengalaman baru,5
7,2024-04-27,,Pengurus acara ini sangat terstruktur sehingga acara berjalan lancar dan menyenangkan ,4
8,2024-04-27,,Seru,5
9,2024-03-05,,Seru,4
10,2024-03-05,,Asik,4
11,2024-03-05,,Menyenangkan,5
12,2024-03-05,,Seru,4
13,2024-03-05,,-,4
14,2024-03-05,,-,4
15,2024-05-22,,Menyenangkan,4
16,2024-05-22,,Menyenangkan,4
17,2024-05-22,,Lumayan,3
18,2024-05-22,,Menyenangkan,4
19,2024-05-22,,Seru,4
20,2024-05-22,,Asik,4
21,2024-05-22,,Cukup seru,2
22,2024-05-22,,Lumayan,3
23,2024-05-22,,Menyenangkan,4
24,2024-05-22,,Menyenangkan,4
