id,article_id,comment_id,user_id,created_at
1,9,1,51,2024-06-09 05:57:01.302
2,9,2,52,2024-06-09 13:20:06.191
3,9,3,53,2024-06-12 16:32:37.968
4,9,4,55,2024-06-13 09:26:14.007
5,9,5,54,2024-06-13 13:22:49.881
6,10,6,61,2024-06-13 14:07:23.428
7,10,7,62,2024-06-13 14:09:55.937
8,10,8,63,2024-06-13 14:10:53.258
9,10,9,64,2024-06-13 14:13:49.073
10,10,10,65,2024-06-13 14:14:04.614
11,11,11,71,2024-06-13 14:16:00.762
12,11,12,72,2024-06-13 14:16:13.928
13,11,13,73,2024-06-13 14:17:19.256
14,11,14,74,2024-06-13 14:17:32.567
15,11,15,75,2024-06-13 14:20:31.310
16,12,16,51,2024-06-13 14:22:07.857
17,12,17,61,2024-06-14 08:49:44.919
18,12,18,71,2024-06-14 12:30:16.281
19,12,19,52,2024-06-14 17:29:29.159
20,12,20,62,2024-06-15 12:36:23.559
21,13,21,60,2024-06-15 14:27:12.206
22,44,22,73,2024-06-16 15:17:07.774
23,44,23,73,2024-06-16 15:17:21.614
24,44,24,125,2024-06-17 16:41:06.554
