id,application_id,vacancy_id,user_id,organization_id,created_at
1,1,3,54,11,2024-06-07 13:08:19.244
2,4,1,54,11,2024-06-08 13:08:19.244
3,5,1,55,11,2024-06-08 13:08:19.244
4,6,1,56,11,2024-06-08 13:08:19.244
5,7,1,58,11,2024-06-08 13:08:19.244
6,8,1,59,11,2024-06-08 13:08:19.244
7,20,2,54,12,2024-06-08 13:08:19.244
8,21,2,55,12,2024-06-08 13:08:19.244
9,22,2,56,12,2024-06-08 13:08:19.244
10,23,2,58,12,2024-06-08 13:08:19.244
11,24,2,59,12,2024-06-08 13:08:19.244
12,25,2,60,12,2024-06-08 13:08:19.244
13,26,2,61,12,2024-06-08 13:08:19.244
14,27,2,62,12,2024-06-08 13:08:19.244
15,28,2,63,12,2024-06-08 13:08:19.244
16,29,2,64,12,2024-06-08 13:08:19.244
17,30,3,55,11,2024-06-08 13:08:19.244
18,33,3,56,11,2024-06-08 13:08:19.244
19,34,3,58,11,2024-06-08 13:08:19.244
20,47,4,54,12,2024-06-08 13:08:19.244
21,48,4,55,12,2024-06-08 13:08:19.244
22,49,4,56,12,2024-06-08 13:08:19.244
23,50,4,58,12,2024-06-08 13:08:19.244
24,51,4,59,12,2024-06-09 13:08:19.244
25,52,4,60,12,2024-06-09 13:08:19.244
26,53,4,61,12,2024-06-09 13:08:19.244
27,54,4,62,12,2024-06-09 13:08:19.244
28,55,4,63,12,2024-06-09 13:08:19.244
29,56,4,64,12,2024-06-09 13:08:19.244
30,57,4,65,12,2024-06-09 13:08:19.244
31,58,4,66,12,2024-06-09 13:08:19.244
32,59,5,67,7,2024-06-09 13:08:19.244
33,60,5,68,7,2024-06-09 13:08:19.244
34,61,5,69,7,2024-06-09 13:08:19.244
35,62,5,70,7,2024-06-09 13:08:19.244
36,63,5,71,7,2024-06-09 13:08:19.244
37,64,5,72,7,2024-06-09 13:08:19.244
38,65,5,73,7,2024-06-09 13:08:19.244
39,66,5,74,7,2024-06-09 13:08:19.244
40,67,5,75,7,2024-06-09 13:08:19.244
41,68,5,76,7,2024-06-09 13:08:19.244
42,69,6,67,8,2024-06-09 13:08:19.244
43,70,6,68,8,2024-06-09 13:08:19.244
44,71,6,69,8,2024-06-09 13:08:19.244
45,72,6,54,8,2024-06-09 13:08:19.244
46,73,6,55,8,2024-06-09 13:08:19.244
47,74,7,54,4,2024-06-09 13:08:19.244
48,75,7,55,4,2024-06-09 13:08:19.244
49,76,7,56,4,2024-06-10 13:08:19.244
50,77,7,58,4,2024-06-10 13:08:19.244
51,78,7,72,4,2024-06-10 13:08:19.244
52,79,7,73,4,2024-06-10 13:08:19.244
53,80,7,74,4,2024-06-10 13:08:19.244
54,81,7,75,4,2024-06-10 13:08:19.244
55,82,7,76,4,2024-06-10 13:08:19.244
56,83,7,77,4,2024-06-10 13:08:19.244
57,94,8,54,5,2024-06-10 13:08:19.244
58,95,8,55,5,2024-06-10 13:08:19.244
59,96,8,56,5,2024-06-10 13:08:19.244
60,97,8,58,5,2024-06-10 13:08:19.244
61,98,8,59,5,2024-06-10 13:08:19.244
62,99,8,60,5,2024-06-10 13:08:19.244
63,100,8,61,5,2024-06-10 13:08:19.244
64,101,8,72,5,2024-06-10 13:08:19.244
65,102,8,73,5,2024-06-10 13:08:19.244
66,103,8,74,5,2024-06-10 13:08:19.244
67,104,9,54,3,2024-06-10 13:08:19.244
68,105,9,55,3,2024-06-10 13:08:19.244
69,106,9,56,3,2024-06-10 13:08:19.244
70,107,9,58,3,2024-06-10 13:08:19.244
71,108,9,59,3,2024-06-10 13:08:19.244
72,109,9,60,3,2024-06-10 13:08:19.244
73,110,9,61,3,2024-06-10 13:08:19.244
74,111,9,62,3,2024-06-10 13:08:19.244
75,112,9,63,3,2024-06-10 13:08:19.244
76,113,9,64,3,2024-06-10 13:08:19.244
77,114,9,65,3,2024-06-10 13:08:19.244
78,115,9,66,3,2024-06-10 13:08:19.244
79,116,9,67,3,2024-06-10 13:08:19.244
80,117,9,68,3,2024-06-10 13:08:19.244
81,118,9,69,3,2024-06-10 13:08:19.244
82,119,9,70,3,2024-06-10 13:08:19.244
83,120,9,71,3,2024-06-10 13:08:19.244
84,121,9,72,3,2024-06-10 13:08:19.244
85,122,9,73,3,2024-06-10 13:08:19.244
86,123,9,74,3,2024-06-10 13:08:19.244
87,124,9,75,3,2024-06-10 13:08:19.244
88,125,9,76,3,2024-06-10 13:08:19.244
89,126,9,77,3,2024-06-10 13:08:19.244
90,127,9,78,3,2024-06-10 13:08:19.244
91,128,9,79,3,2024-06-10 13:08:19.244
92,129,10,80,13,2024-06-10 13:08:19.244
93,130,10,81,13,2024-06-10 13:08:19.244
94,131,10,82,13,2024-06-10 13:08:19.244
95,132,10,83,13,2024-06-10 13:08:19.244
96,133,10,84,13,2024-06-10 13:08:19.244
97,134,10,85,13,2024-06-10 13:08:19.244
98,135,11,81,3,2024-06-10 13:08:19.244
99,136,11,82,3,2024-06-10 13:08:19.244
100,137,11,83,3,2024-06-10 13:08:19.244
101,138,11,84,3,2024-06-10 13:08:19.244
102,139,11,85,3,2024-06-10 13:08:19.244
103,140,12,54,13,2024-06-10 13:08:19.244
104,141,12,55,13,2024-06-10 13:08:19.244
105,142,12,56,13,2024-06-10 13:08:19.244
106,143,12,58,13,2024-06-10 13:08:19.244
107,144,12,72,13,2024-06-10 13:08:19.244
108,145,12,73,13,2024-06-10 13:08:19.244
109,146,12,74,13,2024-06-10 13:08:19.244
110,147,29,67,3,2024-06-10 13:08:19.244
111,148,29,68,3,2024-06-10 13:08:19.244
112,149,29,69,3,2024-06-10 13:08:19.244
113,150,29,56,3,2024-06-10 13:08:19.244
114,151,29,59,3,2024-06-10 13:08:19.244
115,152,30,54,13,2024-06-10 13:08:19.244
116,153,30,55,13,2024-06-10 13:08:19.244
117,154,30,56,13,2024-06-10 13:08:19.244
118,155,30,76,13,2024-06-10 13:08:19.244
119,156,30,77,13,2024-06-10 13:08:19.244
120,157,30,78,13,2024-06-10 13:08:19.244
121,158,31,54,11,2024-06-10 13:08:19.244
122,159,31,55,11,2024-06-10 13:08:19.244
123,160,31,56,11,2024-06-10 13:08:19.244
124,161,31,58,11,2024-06-10 13:08:19.244
125,162,31,59,11,2024-06-10 13:08:19.244
126,163,2,73,12,2024-06-10 00:34:46.120
127,164,2,86,12,2024-06-13 12:37:05.289
128,165,1,73,11,2024-06-15 05:28:23.692
129,166,1,122,11,2024-06-15 06:38:46.114
130,167,3,122,11,2024-06-15 07:05:10.132
131,168,4,122,12,2024-06-15 12:35:13.272
132,169,5,126,7,2024-06-16 23:47:49.647
133,170,2,126,12,2024-06-16 23:58:25.538
134,172,4,126,12,2024-06-16 23:59:52.211
135,173,9,126,3,2024-06-17 01:34:46.520
136,174,6,126,8,2024-06-17 01:54:09.642
137,181,3,60,11,2024-06-17 03:00:55.254
138,182,4,125,12,2024-06-17 03:10:54.760
139,183,6,125,8,2024-06-17 16:42:36.293
140,185,3,73,11,2024-06-18 17:18:30.908
141,186,4,73,12,2024-06-18 17:23:01.653
142,187,5,60,7,2024-06-19 03:56:10.414
143,188,7,60,4,2024-06-19 03:57:49.534
