id,created_at,updated_at,deleted_at,user_id,vacancy_id,testimoni,rating
1,,,,54,1,Menyenangkan,4
2,,,,55,1,Seru,3
3,,,,56,1,Sangat menarik,4
4,,,,58,1,Bagus,3
5,,,,54,2,Kegiatan ini menyenangkan,4
6,,,,55,2,Saya senang karna mendapat banyak relasi dan mendapatkan pengalaman baru,5
7,,,,56,2,Pengurus acara ini sangat terstruktur sehingga acara berjalan lancar dan menyenangkan ,4
8,,,,58,2,Seru,5
9,,,,67,5,Seru,4
10,,,,68,5,Asik,4
11,,,,69,5,Menyenangkan,5
12,,,,71,5,Seru,4
13,,,,72,5,-,4
14,,,,73,5,-,4
15,,,,60,9,Menyenangkan,4
16,,,,61,9,Menyenangkan,4
17,,,,62,9,Lumayan,3
18,,,,63,9,Menyenangkan,4
19,,,,64,9,Seru,4
20,,,,65,9,Asik,4
21,,,,66,9,Cukup seru,2
22,,,,67,9,Lumayan,3
23,,,,68,9,Menyenangkan,4
24,,,,69,9,Menyenangkan,4
