id,article_id,comment_id,customer_id,total_like,comment_created_at
1,1,1,1,20,2024-05-29 19:36:00
2,2,2,2,17,2024-05-29 19:37:00
3,3,3,3,35,2024-05-29 19:38:00
4,4,4,4,41,2024-05-29 19:39:00
5,5,5,5,32,2024-05-29 19:40:00
6,6,6,6,11,2024-05-29 19:41:00
7,7,7,7,22,2024-05-29 19:42:00
8,8,8,8,46,2024-05-29 19:43:00
9,9,9,9,33,2024-05-29 19:44:00
10,10,10,10,27,2024-05-29 19:45:00
11,11,11,11,18,2024-05-29 19:46:00
12,12,12,12,17,2024-05-29 19:47:00
13,13,13,13,34,2024-05-29 19:48:00
14,14,14,14,41,2024-05-29 19:49:00
15,15,15,15,37,2024-05-29 19:50:00
16,16,16,16,28,2024-05-29 19:51:00
17,17,17,17,53,2024-05-29 19:52:00
18,18,18,18,37,2024-05-29 19:53:00
19,19,19,19,45,2024-05-29 19:54:00
20,20,20,20,26,2024-05-29 19:55:00
21,21,21,21,66,2024-05-29
