id,donation_id,fundraising_id,customer_id,nominal,goal_amount,fundraising_categories_id,organization_id,donation_created_at
1,1,10,35,254000,120000,2,10,2023-05-28 14:22:01
2,4,22,29,654000,90000,2,22,2023-01-22 17:42:19
3,7,3,25,45000,50000,3,3,2022-09-30 10:15:48
4,9,14,5,76800,80000,2,14,2022-10-24 15:29:42
5,12,20,26,550000,120000,4,20,2023-03-12 14:27:36
6,15,16,4,460000,95000,4,16,2023-04-01 11:07:53
7,17,13,38,270000,70000,1,13,2023-01-25 16:15:17
8,20,23,50,88000,55000,3,23,2022-11-07 18:29:57
9,23,12,19,74000,90000,4,12,2023-03-17 15:42:21
10,26,15,48,150000,60000,3,15,2022-11-18 12:49:09
11,28,22,1,62000,90000,2,22,2023-03-05 10:24:12
