id,customer_id,volunteer_vacancies_id,testimoni_volunteer_id,rating
1,1,1,1,4.0
2,2,2,2,5.0
3,3,3,3,3.0
4,4,4,4,3.0
5,5,5,5,3.0
6,6,16,6,3.0
7,7,17,7,3.0
8,8,28,8,3.0
9,9,29,9,3.0
10,10,10,10,2.0
11,11,10,11,2.0
12,12,13,12,2.0
13,13,13,13,2.0
14,14,14,14,2.0
15,15,17,15,2.0
16,16,16,16,1.0
17,17,17,17,2.0
18,18,18,18,3.0
19,19,39,19,3.0
20,20,24,20,5.0
21,21,25,21,5.0
22,22,22,22,5.0
23,23,23,23,5.0
24,24,26,24,5.0
25,25,29,25,5.0
26,26,30,26,5.0
27,27,30,27,
28,28,1,28,
29,29,2,29,
30,30,3,30,
31,31,3,31,
32,32,3,32,
33,33,43,33,5.0
34,34,34,34,5.0
35,35,35,35,5.0
