id,customer_id,article_id,created_at,updated_at,deleted_at
1,1,1,2024-05-29 21:06:00,-,-
2,12,2,2024-05-29 21:07:00,-,-
3,31,3,2024-05-29 21:08:00,-,-
4,41,4,2024-05-29 21:09:00,-,-
5,16,5,2024-05-29 21:10:00,-,-
6,19,6,2024-05-29 21:11:00,-,-
7,11,7,2024-05-29 21:12:00,-,-
8,11,8,2024-05-29 21:13:00,-,-
9,1,9,2024-05-29 21:14:00,-,-
10,31,10,2024-05-29 21:15:00,-,-
11,42,1,2024-05-29 21:16:00,-,-
12,25,2,2024-05-29 21:17:00,-,-
13,25,3,2024-05-29 21:18:00,-,-
14,26,4,2024-05-29 21:19:00,-,-
15,31,5,2024-05-29 21:20:00,-,-
16,41,6,2024-05-29 21:21:00,-,-
17,16,7,2024-05-29 21:22:00,-,-
18,22,8,2024-05-29 21:23:00,-,-
19,32,9,2024-05-29 21:24:00,-,-
20,32,10,2024-05-29 21:25:00,-,-
21,16,1,2024-05-29 21:26:00,-,-
22,37,2,2024-05-29 21:27:00,-,-
23,17,3,2024-05-29 21:28:00,-,-
24,19,4,2024-05-29 21:29:00,-,-
25,3,5,2024-05-29 21:30:00,-,-
26,3,6,2024-05-29 21:31:00,-,-
27,3,7,2024-05-29 21:32:00,-,
