id,donation_id,wish,created_at,updated_at,deleted_at
1,5,Stay strong.,2023-02-12 14:23:01,2023-03-01 15:42:17,
2,8,Wishing you all the best.,2022-11-10 10:34:56,2022-11-20 12:30:27,
3,3,Stay hopeful.,2023-01-17 18:47:50,2023-02-01 19:21:16,2023-03-15 14:23:41
4,12,You're in my thoughts.,2023-03-08 08:24:12,2023-03-22 09:36:19,
5,17,Keep fighting!,2023-05-14 11:45:23,2023-05-25 12:42:45,
6,6,Never give up!,2022-09-29 16:39:20,2022-10-05 18:22:14,
7,14,Stay brave.,2022-12-01 15:19:44,2022-12-15 17:36:55,
8,22,Keep your head up.,2023-04-23 11:42:30,2023-05-01 13:17:29,
9,9,Better days are coming.,2023-02-14 12:27:59,2023-02-25 15:41:12,
10,1,Stay positive.,2023-05-09 09:45:11,2023-05-20 10:53:47,
11,7,Stay grateful.,2022-11-25 18:37:04,2022-12-05 20:42:37,
12,10,Wishing you strength.,2023-01-14 07:25:37,2023-01-28 08:42:18,
13,24,You're strong.,2022-08-30 10:19:25,2022-09-10 12:15:34,
14,29,Stay motivated.,2023-03-01 11:23:45,2023-03-15 12:49:52,
15,15,With love and support.,2023-04-17 15:34:28,2023-04-30 16:47:15,
16,4,You're not alone.,2022-10-20 14:28:36,2022-11-02 16:21:19,
17,11,Keep going.,2023-02-19 12:34:01,2023-03-05 13:48:30,
18,27,Stay focused.,2023-01-11 18:46:27,2023-01-25 19:50:34,2023-02-15 17:25:22
19,30,You're amazing.,2022-09-15 09:12:43,2022-09-30 11:19:50,
20,18,Stay inspired.,2022-11-07 10:39:12,2022-11-18 12:45:29,
21,13,This too shall pass.,2023-04-06 17:28:47,2023-04-20 18:52:38,
22,19,May this bring you joy.,2023-03-14 15:36:19,2023-03-25 17:24:22,
23,16,Stay determined.,2023-01-23 13:47:52,2023-02-01 15:30:17,
24,25,Wishing you happiness.,2022-12-12 11:45:03,2022-12-27 13:32:26,
25,2,Keep fighting!,2022-10-29 14:19:45,2022-11-10 15:34:18,
26,21,Hope this helps!,2023-05-01 08:36:20,2023-05-14 09:27:39,
27,23,Stay motivated.,2022-11-18 12:49:21,2022-12-01 14:36:14,
28,26,I wish for a better future.,2023-03-08 09:41:33,2023-03-22 11:48:45,
29,20,Believe in yourself.,2022-12-23 17:54:12,2023-01-05 19:23:40,
30,28,You're strong.,2022-09-05 15:28:39,2022-09-20 17:14:56,
