id,created_at,deleted_at
16,2024-06-06,
17,2024-06-06,
18,2024-06-06,
19,2024-06-06,
20,2024-06-06,
21,2024-06-06,
22,2024-06-07,
23,2024-06-07,
24,2024-06-07,
25,2024-06-07,
26,2024-06-07,
27,2024-06-07,
28,2024-06-07,
29,2024-06-07,
30,2024-06-07,
31,2024-06-07,
32,2024-06-07,
33,2024-06-07,
34,2024-06-07,
35,2024-06-07,
36,2024-06-07,
37,2024-06-07,
38,2024-06-07,
40,2024-06-15,
41,2024-06-15,
42,2024-06-16,
43,2024-06-16,
44,2024-06-16,
69,2024-06-21,
74,2024-06-21,
75,2024-06-21,
80,2024-06-21,
81,2024-06-21,
89,2024-06-21,
90,2024-06-21,
93,2024-06-21,
100,2024-06-22,
101,2024-06-22,
102,2024-06-22,
103,2024-06-22,2024-06-22
104,2024-06-22,2024-06-22
112,2024-06-22,2024-06-22
113,2024-06-22,
114,2024-06-22,
115,2024-06-22,
116,2024-06-22,2024-06-22
117,2024-06-22,2024-06-22
118,2024-06-22,2024-06-22
119,2024-06-22,2024-06-22
120,2024-06-22,2024-06-23
121,2024-06-22,2024-06-23
122,2024-06-22,2024-06-22
123,2024-06-22,
124,2024-06-22,
125,2024-06-23,2024-06-23
126,2024-06-23,2024-06-23
127,2024-06-23,2024-06-23
128,2024-06-24,
129,2024-06-24,2024-06-24
130,2024-06-24,2024-06-24
131,2024-06-24,2024-06-24
