id,created_at,deleted_at,amount,status,image_payment
16,2024-06-08,,1000000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792272/btf.25_cpb3xs.jpg
17,2024-06-08,,9999999,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.1_gg4hgf.jpg
18,2024-06-08,,400000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792273/btf.12_tw6pau.jpg
19,2024-06-08,,30000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792272/btf.19_n9t3to.jpg
20,2024-06-08,,2400000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792271/btf.30_brdprq.jpg
21,2024-06-08,,100000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.3_yzed1k.jpg
22,2024-06-08,,100000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.3_yzed1k.jpg
23,2024-06-08,,250000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.4_z3vwxy.jpg
24,2024-06-08,,20000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792273/btf.16_faprnb.jpg
25,2024-06-08,,500000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792274/btf.7_rjmhgq.jpg
26,2024-06-08,,4000000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792273/btf.15_fu0uek.jpg
27,2024-06-08,,67000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.37_b1iwia.jpg
28,2024-06-08,,600000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792274/btf.8_k2bzp0.jpg
29,2024-06-08,,2400000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792271/btf.30_brdprq.jpg
30,2024-06-08,,100000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792275/btf.3_yzed1k.jpg
31,2024-06-08,,150000,sukses,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717792272/btf.20_r9ulxq.jpg
