id,created_at,deleted_at,ig_image_url,yt_image_url,job,reason,age
1,2024-06-07,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah produktivitas""",21 - 25 Tahun
4,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah produktivitas""",21 - 25 Tahun
5,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah relasi """,21 - 25 Tahun
6,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin mengisi waktu""",21 - 25 Tahun
7,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah pengalaman""",21 - 25 Tahun
8,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Menambah pengalaman baru""",21 - 25 Tahun
20,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah produktivitas""",21 - 25 Tahun
21,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah relasi """,21 - 25 Tahun
22,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin mengisi waktu""",21 - 25 Tahun
23,2024-06-08,,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765697/oyyuy09gwpujruub1rnr.jpg,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717765698/ypikmedzqlogjhl0io8a.jpg,Mahasiswa,"""Ingin menambah pengalaman""",21 - 25 Tahun
