id,bookmark_id,created_at,user_id,fundraising_id
1,16,2024-06-06,61,6
2,17,2024-06-06,62,7
3,18,2024-06-06,63,10
4,19,2024-06-06,64,12
5,20,2024-06-06,65,11
6,21,2024-06-07,81,1
7,22,2024-06-07,72,2
8,23,2024-06-07,53,3
9,24,2024-06-07,54,9
10,25,2024-06-07,55,8
11,26,2024-06-07,76,13
12,27,2024-06-07,59,15
13,28,2024-06-07,60,14
14,29,2024-06-07,67,20
15,30,2024-06-07,68,23
16,31,2024-06-07,71,22
17,32,2024-06-07,56,21
18,33,2024-06-07,80,18
19,34,2024-06-07,70,19
20,35,2024-06-07,66,28
21,36,2024-06-07,55,30
22,37,2024-06-07,63,29
23,38,2024-06-07,52,26
24,39,2024-06-07,74,27
25,40,2024-06-07,73,16
26,41,2024-06-15,76,1
27,42,2024-06-15,73,1
28,43,2024-06-15,73,1
29,44,2024-06-16,73,40
30,45,2024-06-16,73,1
31,46,2024-06-16,73,44
32,47,2024-06-19,60,1
33,116,2024-06-21,136,1
34,119,2024-06-22,165,1
35,120,2024-06-22,60,1
36,122,2024-06-22,127,11
37,123,2024-06-22,127,11
38,124,2024-06-23,127,31
39,125,2024-06-23,127,31
40,126,2024-06-23,127,24
41,127,2024-06-23,127,7
42,128,2024-06-23,127,7
43,129,2024-06-24,127,64
44,130,2024-06-24,171,11
45,131,2024-06-24,171,22
46,132,2024-06-24,171,64
