id,donation_id,fundraising_id,user_id,amount,goal_amount,fundraising_category_id,organization_id,created_at
1,16,10,51,1000000,6000000,1,7,2024-06-08
2,17,6,52,9999999,50000000,1,7,2024-06-08
3,18,11,53,400000,25000000,1,9,2024-06-08
4,19,7,54,30000,10000000,1,8,2024-06-08
5,20,28,55,2400000,5000000,4,11,2024-06-08
6,21,6,56,100000,50000000,1,7,2024-06-08
7,22,24,58,100000,7000000,3,6,2024-06-08
8,23,6,59,250000,50000000,1,7,2024-06-08
9,24,13,60,20000,2500000,2,3,2024-06-08
10,25,24,61,500000,7000000,3,6,2024-06-08
11,26,7,62,4000000,10000000,1,8,2024-06-08
12,27,19,63,67000,20000000,3,4,2024-06-08
13,28,27,64,600000,2000000,4,11,2024-06-08
14,29,9,65,2400000,8000000,1,10,2024-06-08
15,30,14,66,100000,8000000,2,13,2024-06-08
16,31,6,67,150000,50000000,1,7,2024-06-08
17,32,27,68,500000,2000000,4,11,2024-06-08
18,33,11,69,15000000,25000000,1,9,2024-06-08
19,34,13,70,550000,2500000,2,3,2024-06-08
20,35,6,71,20000,50000000,1,7,2024-06-08
21,36,22,72,67000,2000000,3,5,2024-06-08
22,37,21,73,900000,9000000,3,5,2024-06-08
23,38,11,74,550000,25000000,1,9,2024-06-09
24,39,13,75,750000,2500000,2,3,2024-06-09
25,40,7,76,600000,10000000,1,8,2024-06-09
26,41,13,77,3500000,2500000,2,3,2024-06-09
27,42,19,78,150000,20000000,3,4,2024-06-09
28,43,22,79,20000,2000000,3,5,2024-06-09
29,44,6,80,70000,50000000,1,7,2024-06-09
30,45,17,81,4000000,12000000,2,3,2024-06-09
31,46,12,82,625000,10000000,2,3,2024-06-09
32,47,7,83,2000000,10000000,1,8,2024-06-09
33,48,9,84,1600000,8000000,1,10,2024-06-09
34,49,21,85,700000,9000000,3,5,2024-06-09
35,50,13,86,790000,2500000,2,3,2024-06-09
36,51,27,55,625000,2000000,4,11,2024-06-09
37,52,15,60,100000,6000000,2,13,2024-06-09
38,53,10,60,2500000,6000000,1,7,2024-06-09
39,54,13,67,30000,2500000,2,3,2024-06-10
40,55,12,85,600000,10000000,2,3,2024-06-10
41,56,25,54,70000,10000000,3,6,2024-06-10
42,57,15,66,250000,6000000,2,13,2024-06-10
43,58,13,67,400000,2500000,2,3,2024-06-10
44,59,17,68,60000,12000000,2,3,2024-06-10
45,60,8,70,2000000,2000000,1,9,2024-06-10
46,61,25,73,81000,10000000,3,6,2024-06-10
47,62,13,71,5000000,2500000,2,3,2024-06-10
48,63,7,77,300000,10000000,1,8,2024-06-10
49,64,19,67,70000,20000000,3,4,2024-06-10
50,65,24,56,70000,7000000,3,6,2024-06-10
51,66,12,77,150000,10000000,2,3,2024-06-10
52,67,15,54,60000,6000000,2,13,2024-06-11
53,68,25,66,8800000,10000000,3,6,2024-06-11
54,69,12,67,60000,10000000,2,3,2024-06-11
55,70,15,68,300000,6000000,2,13,2024-06-11
56,71,9,80,90000,8000000,1,10,2024-06-11
57,72,14,70,67000,8000000,2,13,2024-06-11
58,73,11,61,7000000,25000000,1,9,2024-06-11
59,74,22,85,357000,2000000,3,5,2024-06-11
60,75,13,55,2000000,2500000,2,3,2024-06-11
61,76,9,75,500000,8000000,1,10,2024-06-11
62,77,22,60,60000,2000000,3,5,2024-06-11
63,78,11,73,67000,25000000,1,9,2024-06-11
64,79,18,55,7000000,7000000,2,3,2024-06-11
65,80,21,80,100000,9000000,3,5,2024-06-11
66,81,12,55,67000,10000000,2,3,2024-06-11
67,82,19,80,60000,20000000,3,4,2024-06-11
68,83,20,83,13500000,15000000,3,4,2024-06-12
69,84,14,73,600000,8000000,2,13,2024-06-12
70,85,15,71,70000,6000000,2,13,2024-06-12
71,86,18,77,15000,7000000,2,3,2024-06-12
72,87,21,67,220000,9000000,3,5,2024-06-12
73,88,14,83,2500000,8000000,2,13,2024-06-12
74,89,14,73,70000,8000000,2,13,2024-06-12
75,90,12,59,950000,10000000,2,3,2024-06-12
76,91,21,61,2000000,9000000,3,5,2024-06-12
77,92,17,80,2000000,12000000,2,3,2024-06-12
78,93,14,83,30000,8000000,2,13,2024-06-12
79,94,19,61,5000000,20000000,3,4,2024-06-12
80,95,15,74,81000,6000000,2,13,2024-06-12
81,96,15,55,90000,6000000,2,13,2024-06-12
82,97,15,60,750000,6000000,2,13,2024-06-13
83,98,14,65,150000,8000000,2,13,2024-06-13
84,99,14,66,15000,8000000,2,13,2024-06-13
85,100,15,64,550000,6000000,2,13,2024-06-13
86,101,15,85,15000,6000000,2,13,2024-06-13
87,102,15,55,67000,6000000,2,13,2024-06-13
88,103,6,51,250000,50000000,1,7,2024-06-13
89,104,13,65,900000,2500000,2,3,2024-06-13
90,105,9,70,100000,8000000,1,10,2024-06-13
91,106,28,82,400000,5000000,4,11,2024-06-13
92,107,13,54,67000,2500000,2,3,2024-06-13
93,108,7,61,900000,10000000,1,8,2024-06-13
94,109,18,69,20000,7000000,2,3,2024-06-14
95,110,20,77,100000,15000000,3,4,2024-06-14
96,111,21,75,900000,9000000,3,5,2024-06-14
97,112,7,53,400000,10000000,1,8,2024-06-14
98,113,2,58,500000,5000000,3,1,2024-06-14
99,114,2,73,500000,5000000,3,1,2024-06-14
100,115,2,73,500000,5000000,3,1,2024-06-14
101,116,1,120,1000000,15000000,2,1,2024-06-14
102,180,7,127,50000,10000000,1,8,2024-06-21
103,201,64,127,100000,50000000,1,8,2024-06-23
104,204,19,127,50000,20000000,3,4,2024-06-24
105,205,22,127,50000,2000000,3,5,2024-06-24
