id,application_id,vacancy_id,user_id,organization_id,created_at
1,1,3,54,11,2024-06-07
2,4,1,54,11,2024-06-08
3,5,1,55,11,2024-06-08
4,6,1,56,11,2024-06-08
5,7,1,58,11,2024-06-08
6,8,1,59,11,2024-06-08
7,20,2,54,12,2024-06-08
8,21,2,55,12,2024-06-08
9,22,2,56,12,2024-06-08
10,23,2,58,12,2024-06-08
11,24,2,59,12,2024-06-08
12,25,2,60,12,2024-06-08
13,26,2,61,12,2024-06-08
14,27,2,62,12,2024-06-08
15,28,2,63,12,2024-06-08
16,29,2,64,12,2024-06-08
17,30,3,55,11,2024-06-08
18,33,3,56,11,2024-06-08
19,34,3,58,11,2024-06-08
20,47,4,54,12,2024-06-08
21,48,4,55,12,2024-06-08
22,49,4,56,12,2024-06-08
23,50,4,58,12,2024-06-08
24,51,4,59,12,2024-06-09
25,52,4,60,12,2024-06-09
26,53,4,61,12,2024-06-09
27,54,4,62,12,2024-06-09
28,55,4,63,12,2024-06-09
29,56,4,64,12,2024-06-09
30,57,4,65,12,2024-06-09
31,58,4,66,12,2024-06-09
32,59,5,67,7,2024-06-09
33,60,5,68,7,2024-06-09
34,61,5,69,7,2024-06-09
35,62,5,70,7,2024-06-09
36,63,5,71,7,2024-06-09
37,64,5,72,7,2024-06-09
38,65,5,73,7,2024-06-09
39,66,5,74,7,2024-06-09
40,67,5,75,7,2024-06-09
41,68,5,76,7,2024-06-09
42,69,6,67,8,2024-06-09
43,70,6,68,8,2024-06-09
44,71,6,69,8,2024-06-09
45,72,6,54,8,2024-06-09
46,73,6,55,8,2024-06-09
47,74,7,54,4,2024-06-09
48,75,7,55,4,2024-06-09
49,76,7,56,4,2024-06-10
50,77,7,58,4,2024-06-10
51,78,7,72,4,2024-06-10
52,79,7,73,4,2024-06-10
53,80,7,74,4,2024-06-10
54,81,7,75,4,2024-06-10
55,82,7,76,4,2024-06-10
56,83,7,77,4,2024-06-10
57,94,8,54,5,2024-06-10
58,95,8,55,5,2024-06-10
59,96,8,56,5,2024-06-10
60,97,8,58,5,2024-06-10
61,98,8,59,5,2024-06-10
62,99,8,60,5,2024-06-10
63,100,8,61,5,2024-06-10
64,101,8,72,5,2024-06-10
65,102,8,73,5,2024-06-10
66,103,8,74,5,2024-06-10
67,104,9,54,3,2024-06-10
68,105,9,55,3,2024-06-10
69,106,9,56,3,2024-06-10
70,107,9,58,3,2024-06-10
71,108,9,59,3,2024-06-10
72,109,9,60,3,2024-06-10
73,110,9,61,3,2024-06-10
74,111,9,62,3,2024-06-10
75,112,9,63,3,2024-06-10
76,113,9,64,3,2024-06-10
77,114,9,65,3,2024-06-10
78,115,9,66,3,2024-06-10
79,116,9,67,3,2024-06-10
80,117,9,68,3,2024-06-10
81,118,9,69,3,2024-06-10
82,119,9,70,3,2024-06-10
83,120,9,71,3,2024-06-10
84,121,9,72,3,2024-06-10
85,122,9,73,3,2024-06-10
86,123,9,74,3,2024-06-10
87,124,9,75,3,2024-06-10
88,125,9,76,3,2024-06-10
89,126,9,77,3,2024-06-10
90,127,9,78,3,2024-06-10
91,128,9,79,3,2024-06-10
92,129,10,80,13,2024-06-10
93,130,10,81,13,2024-06-10
94,131,10,82,13,2024-06-10
95,132,10,83,13,2024-06-10
96,133,10,84,13,2024-06-10
97,134,10,85,13,2024-06-11
98,135,11,81,3,2024-06-11
99,136,11,82,3,2024-06-11
100,137,11,83,3,2024-06-11
101,138,11,84,3,2024-06-11
102,139,11,85,3,2024-06-11
103,140,12,54,13,2024-06-12
104,141,12,55,13,2024-06-12
105,142,12,56,13,2024-06-12
106,143,12,58,13,2024-06-13
107,144,12,72,13,2024-06-13
108,145,12,73,13,2024-06-13
109,146,12,74,13,2024-06-14
110,147,29,67,3,2024-06-14
111,148,29,68,3,2024-06-14
112,149,29,69,3,2024-06-14
113,150,29,56,3,2024-06-15
114,151,29,59,3,2024-06-15
115,152,30,54,13,2024-06-15
116,153,30,55,13,2024-06-15
117,154,30,56,13,2024-06-16
118,155,30,76,13,2024-06-16
119,156,30,77,13,2024-06-16
120,157,30,78,13,2024-06-16
121,222,3,1,11,2024-06-23
122,224,6,127,8,2024-06-23
123,225,4,127,12,2024-06-23
124,226,3,127,11,2024-06-23
125,227,4,123,12,2024-06-23
126,228,3,158,11,2024-06-23
127,229,31,127,11,2024-06-23
128,230,30,127,13,2024-06-24
129,231,29,127,3,2024-06-24
130,232,29,171,3,2024-06-24
131,233,4,171,12,2024-06-24
132,234,32,170,12,2024-06-26
133,235,32,158,12,2024-06-26
134,236,61,158,1,2024-06-26
