id,created_at,updated_at,deleted_at,comment,total_likes
25,2024-06-23,2024-06-23,,Unknown,0
26,2024-06-23,2024-06-23,,Unknown,1
27,2024-06-23,2024-06-23,,Unknown,0
28,2024-06-23,2024-06-23,,Unknown,0
29,2024-06-23,2024-06-23,,Unknown,0
30,2024-06-23,2024-06-23,,Unknown,0
31,2024-06-23,2024-06-23,,Unknown,0
32,2024-06-23,2024-06-23,,Unknown,0
33,2024-06-23,2024-06-23,,Unknown,0
34,2024-06-23,2024-06-23,,Unknown,0
35,2024-06-23,2024-06-23,,Unknown,0
36,2024-06-23,2024-06-23,,Unknown,0
37,2024-06-23,2024-06-23,,Unknown,0
38,2024-06-23,2024-06-23,,Unknown,0
39,2024-06-23,2024-06-23,,Unknown,0
40,2024-06-23,2024-06-23,,Unknown,0
41,2024-06-23,2024-06-23,,Unknown,0
42,2024-06-23,2024-06-23,,Unknown,0
43,2024-06-23,2024-06-23,,This is a new comment.1213,0
44,2024-06-23,2024-06-23,,Unknown,0
45,2024-06-23,2024-06-23,,Unknown,0
46,2024-06-23,2024-06-23,,Unknown,0
47,2024-06-23,2024-06-23,,Unknown,0
51,2024-06-23,2024-06-23,,Test komentar nanda di article id 9,0
52,2024-06-23,2024-06-23,,Unknown,0
53,2024-06-23,2024-06-23,,Unknown,0
54,2024-06-23,2024-06-23,,Unknown,0
55,2024-06-23,2024-06-23,,Test komentar manut di article id 11,0
56,2024-06-23,2024-06-23,,Unknown,0
57,2024-06-23,2024-06-23,,Unknown,0
58,2024-06-23,2024-06-23,,Unknown,0
